channel,date,description,fixed_guest,follows,guest,name,score,title
湖南卫视, ,蘑菇屋项目花样多，吴亦凡、 容祖儿、陈乔恩、宋茜、王丽坤挨个体验，拔萝卜、捕鱼怎么还有抓田螺？众人表白做饭受伤的黄老师 ？,"黄磊,何炅,彭昱畅,张子枫",118人喜欢,"陈乔恩,宋茜,王丽坤,容祖儿,吴亦凡",向往的生活,9.8分,向往的生活第3季 第7期 吴亦凡征婚只因太孤独
,腾讯视频 ,收官在即，职场问题升级！壹加壹新人演员班团建陷入“困境”，朱亚文为何沉默？新人试戏遭遇危机，导演直言“降低预期才有惊喜”！张雨绮和经纪人筱雅之间“问题”一触即发，张雨绮因何说出“你的问题，跟我聊不着”？还有一娃、筱雅、琪仔集体崩溃痛哭，被趙又廷当场质问“你们知道来干嘛的吗？”,,0人喜欢,"王学圻,朱亚文,张雨绮,白宇,欧阳娜娜,赵又廷",我和我的经纪人,0.0分,我和我的经纪人第10期 新人试戏遭遇危机 经纪人集体崩溃痛哭
,腾讯视频 ,最后一次公演任务已公布，26名学员将分为两支队伍，以歌曲《乘风》、《赤子》打响最后的出道位争夺战。此次分组选歌，每位学员单独进行抽选，互相并不知情上一名学员选的是哪一首，最后的组合分配全靠运气。,"郭富城,苏有朋,胡彦斌,黄立行",22人喜欢,迪丽热巴,创造营2019,9.4分,创造营2019第2季 第10期 出道位争夺战
湖南卫视, ,本周五，六组来自多个国家的巅峰挑战人已经摩拳擦掌，要在端午这个传统节日献上一场活力满满的“端午运动会”！大连民族大学唱响团的阿卡贝拉版《在希望的田野上》惊艳全场观众的耳朵，让对歌唱要求严苛的李玟直接打满分，他们的即兴表演更是惊喜不断！,王祖蓝,0人喜欢,"大卫·福斯特,邬君梅,李玟,谢娜",巅峰之夜,0.0分,巅峰之夜第8期 端午运动会
浙江卫视, ,兄弟团秒变上班族，上班第一天他们会迟到吗？尖叫声、呐喊声、警铃声......响成一片，究竟是所谓何事？本周五21:00浙江卫视，来看上班族的“百变日常”,"宋雨琦,黄旭熙,李晨,Angelababy,郑恺,朱亚文,王彦霖",2561人喜欢,"王嘉尔,杨迪,郑元畅",奔跑吧,9.6分,奔跑吧第7季 第7期 职场特辑 爆笑来袭
浙江卫视, ,李兰迪吴谨言谈往事泪奔！白宇范丞丞展“嘶吼”功！,"白宇,魏大勋,吴谨言,范丞丞,王凯,林允,胡先煦",1人喜欢,李兰迪,青春环游记,0.0分,青春环游记第6期 白宇范丞丞展“嘶吼”功
湖南卫视, ,于小彤陈小纭好事将近？拍婚纱照好甜蜜；陈学冬带大姨体验高空滑翔；武艺体验生产痛？,,6人喜欢,"陈学冬,武大靖,钱枫,于小彤",我家那小子,7.0分,我家那小子第2季 第6期 于小彤陈小纭好事将近？拍婚纱照好甜蜜
东方卫视, ,《极限挑战》第四期预告，“老狐狸”黄磊和“小绵羊”张艺兴回归《极限挑战》的舞台，而且录制产所还是“海洋动物馆”，张艺兴与海狮有着亲密的互动，张艺兴还时不时做出可爱的动作却逗海狮，画面感简直A爆了。,,556人喜欢,"岳云鹏,王迅,罗志祥,迪丽热巴,雷佳音,黄磊,张艺兴,贾乃亮",极限挑战,9.8分,极限挑战第5季 第4期 黄磊艺兴师徒回归
湖南卫视, ,于小彤被封“恋爱专家” 海涛被吓出尖叫，于小彤尤长靖挑战鲱鱼罐头陈赫直接吐？,"谢娜,何炅,李维嘉,杜海涛,吴昕",5492人喜欢,"于小彤,尤长靖,陈赫,唐晓天",快乐大本营,9.5分,快乐大本营2019-06-08 于小彤尤长靖挑战鲱鱼罐头陈赫直接吐？
,芒果TV ,夫妻单约，甜蜜收官，不过，画风怎么不太对？子怡姐提出了什么要求，峰哥连环说no？买嘉秀张嘉倪、买超挑战高空项目，狂产表情包[疑问]说好的浪漫呢？期待收官~~,"汪峰,张智霖,买超,包贝尔",29人喜欢,"章子怡,袁咏仪,张嘉倪,包文婧",妻子的浪漫旅行,9.3分,妻子的浪漫旅行第2季 第13期 收官（下）~夫妻单约模式开启
,芒果TV ,农夫勤勤恳恳，美文炳炳烺烺！,,2人喜欢,"杨超越,金瀚,贾乃亮,王源",哈哈农夫,10.0分,哈哈农夫第13期 农夫体验之旅温情收官 王源不舍说再见
,芒果TV ,杨迪惊现绝命病毒所，密逃团集体狂踩动感单车；密逃团遭NPC追赶躲床底，杨迪挖坑杨幂要罢录？,,8人喜欢,,密室大逃脱,8.9分,密室大逃脱第11期 杨迪惊现绝命病毒所
