data,description,detail_url,mall,price,score,title,url
,,,,,,,https://www.smzdm.com/fenlei/
59分钟前					     																,"
                                                    ",https://www.smzdm.com/p/13988146/,"
                                                                                苏宁易购                                    ","
                            399元                        ",0,耐克（NIKE）女子跑步鞋WMNS ODYSSEY REACT SHIELD AA1635-002,https://www.smzdm.com/fenlei/paobuxie/
57分钟前					     																,"
                                                    该商品目前京东售价1499元，每满1000元可减100元，下单实付1399元，再到入手好价，有需要的值友可关注购买。                            ",https://www.smzdm.com/p/13988235/,"
                                                                                京东                                    ","
                            1399元                        ",0,美的（Midea）波轮洗衣机全自动 10KG大容量 DIY自编程 健康自清洗 安全童锁 MB100VJ31,https://www.smzdm.com/fenlei/xiyiji/
1小时前					     																,"
                        天猫精选此商品售价339元，持平站内优惠价格，喜欢的值友可以关注                    ",https://www.smzdm.com/p/13987735/,"
                                                                                天猫精选                                    ","
                            339元                        ",0,NIKE 耐克 Viale 女士休闲运动鞋,https://www.smzdm.com/fenlei/xiuxianyundongxie/
,"
                    ",https://www.smzdm.com/p/13987972/,,"
                            1998元                        ",,SONY 索尼 WH-1000XM3 蓝牙降噪耳机,https://www.smzdm.com/fenlei/erji/
,"
                    ",https://www.smzdm.com/p/13978409/,,"
                            699元包邮                        ",,25日0点 : QuanU 全友 122601 北欧人造板板式床 ,https://www.smzdm.com/fenlei/woshi/
2小时前					     																,"
                                                    正常报价155，参加两件85折，叠加用199-50券，折合一件106.75，如有黑卡更便宜叠加优惠券：",https://www.smzdm.com/p/13987372/,"
                                                                                网易考拉                                    ","
                            213.5元（需用券，合106.75元/件）                        ",2,LEGO 乐高 DUPLO系列 10812 卡车和挖掘车套装 *2件,https://www.smzdm.com/fenlei/jimupincha/
,"
                    ",https://www.smzdm.com/p/13986812/,,"
                            9900元包邮（需49元定金）                        ",,1日0点、预售 : Panasonic 松下 NR-EC43VG-N5 变频风冷多门冰箱 405升,https://www.smzdm.com/fenlei/bingxiang/
,"
                    ",https://www.smzdm.com/p/13987544/,,"
                            86.45元                        ",,《Peter Pan》 彼得·潘立体手工书 （英文原版、典藏版）,https://www.smzdm.com/fenlei/shaoerduwu/
2小时前					     																,"
                        拼购，119-10，叠加10元券，合计324包，平均每包大约0.40元                    ",https://www.smzdm.com/p/13987462/,"
                                                                                京东                                    ","
                            129.7元（合43.23元/件）                        ",0,移动端 : 维达(Vinda) 手帕纸 超韧4层纸巾*108包(无香) 整箱销售 *3件,https://www.smzdm.com/fenlei/zhipinshijin/
4小时前					     																,"
                        京东折后单价29.8元，接近此前推荐的价格，刚需可入。                    ",https://www.smzdm.com/p/13985485/,"
                                                                                京东                                    ","
                            29.8元                        ",0,EAGET 忆捷 F50 USB3.0 U盘 粉色 32GB,https://www.smzdm.com/fenlei/youpan/
,"
                    ",https://www.smzdm.com/p/13839691/,,"
                            109元                        ",,Huawei/华为补光自拍杆直播补光灯美颜无线蓝牙迷你便携自牌杆,https://www.smzdm.com/fenlei/zipaigan/
,"
                    ",https://www.smzdm.com/p/13982784/,,"
                            38元包邮（需用券）                        ",,Spigen三星 S10/S10+/s10e水凝膜全屏覆盖手机贴膜,https://www.smzdm.com/fenlei/tiemo/
9小时前					     																,"
                                                    这款电池为双鹿出品，额定电压1.5V，采用碳芯材质，无汞环保，双重防漏液技术，默认规格为5号*20节+7号*20节，有效期3年。和碱性电池的适用范围不太一样，碳...                            ",https://www.smzdm.com/p/13980373/,"
                                                                                天猫精选                                    ","
                            16.9元（需用券）                        ",0,双鹿 碳性干电池 5号20粒 7号20粒,https://www.smzdm.com/fenlei/dianchi/
,"
                    ",https://www.smzdm.com/p/13973055/,,"
                            1737元包邮                        ",,京东PLUS会员 : EPSON 爱普生 L805 6色墨仓式照片打印机,https://www.smzdm.com/fenlei/dayinji/
8小时前					     																,"
                                                    SIGMA 适马 60-600mm F4.5-6.3 DG OS HSM Sports镜头焦段覆盖从60mm到600mm整整10倍变焦范围，达到了与150-60...                            ",https://www.smzdm.com/p/13981113/,"
                                                                                卓美网                                    ","
                            13299元                        ",0,SIGMA 适马 60-600mm F4.5-6.3 DG OS HSM Sports 大变焦镜头 佳能卡口,https://www.smzdm.com/fenlei/jingtou/
4小时前					     																,"
                                                    Ryzen 5 2600为升级版的二代锐龙处理器，具有6核12线程，主频3.4GHz，可加速至3.9GHz，TDP 65W，采用AM4接口，可兼容300系主板。...                            ",https://www.smzdm.com/p/13986767/,"
                                                                                天猫精选                                    ","
                            1229元                        ",2,AMD Ryzen 5 2600 处理器+Gigabyte 技嘉 B450M DS3H 主板,https://www.smzdm.com/fenlei/cpu/
,"
                    ",https://www.smzdm.com/p/13954957/,,"
                            170元（合85元/件）                        ",,Betop 北通 蝙蝠D2A 无线游戏手柄 黑 *2件,https://www.smzdm.com/fenlei/youxiji/
4小时前					     																,"
                                                    该商品目前京东售价1849元，满1500元减100元，下单实付1749元，有需要的朋友可以考虑入手~                            ",https://www.smzdm.com/p/13986856/,"
                                                                                京东                                    ","
                            1749元                        ",0,七彩虹（Colorful）iGame GeForce GTX 1660 Advanced OC 6G GDDR5 电竞游戏显卡,https://www.smzdm.com/fenlei/xianka/
data,description,detail_url,mall,price,score,title,url
,"
                    ",https://www.smzdm.com/p/11979896/,,"
                                                                                                ",,Panasonic 松下 KX-FP7009CN 普通纸传真机 黑色,https://www.smzdm.com/fenlei/chuanzhenji/
,"
                    ",https://www.smzdm.com/p/13987872/,,"
                            4099元包邮                        ",,25日0点开始 : acer 宏碁 蜂鸟 Swift3 SF314 14英寸笔记本电脑（i5-8265U、8GB、256GB）,https://www.smzdm.com/fenlei/diannaozhengji/
05-20 11:10					     																,"
                        京东秒杀价119元。近期好价。                    ",https://www.smzdm.com/p/13915151/,"
                                                                                京东                                    ","
                                                                                                ",0,kingston 金士顿 USB 3.0 High-Speed Media Reader 多功能读卡器（FCR-HS4）,https://www.smzdm.com/fenlei/dukaqi/
1小时前					     																,"
                                                    京东目前售价45元，满3件总价打7折，下单3件实付94.5元，折合单价31.5元，有需要的朋友可以考虑入手~                            ",https://www.smzdm.com/p/13988597/,"
                                                                                京东                                    ","
                            94.5元（合31.5元/件）                        ",0,LOZ 俐智 9785 微颗粒积木 小豹子 *3件,https://www.smzdm.com/fenlei/wanmoyueqi/
3小时前					     																,"
                                                    JmGO 坚果 7758179 投影仪吊装支架，参数方面，整体材质为冷轧钢，重量为1.4kg，可承受重量5-10kg。支持多种安装方式：吊顶、吸顶、地投、壁挂。...                            ",https://www.smzdm.com/p/13986838/,"
                                                                                京东                                    ","
                            46元                        ",0,JmGO 坚果 投影仪吊装支架 投影机支架,https://www.smzdm.com/fenlei/bangongyiqi/
6分钟前					     																,"
                                                    天猫精选目前报价19.8元，使用10元优惠券后实付9.8元，近期低价，有需要的可以入手。叠加优惠券：",https://www.smzdm.com/p/13989130/,"
                                                                                天猫精选                                    ","
                            9.8元（需用券）                        ",0,卓依迪 无钢圈聚拢文胸 8881 白色 均码,https://www.smzdm.com/fenlei/fushixiebao/
,"
                    ",https://www.smzdm.com/p/12426641/,,"
                            0元                        ",,中国电信 测网龄 领流量,https://www.smzdm.com/fenlei/xunifuwu/
,"
                    ",https://www.smzdm.com/p/13937676/,,"
                            149元包邮（需用券）                        ",,Comet 科密 EP-30 有线一二维码扫描枪,https://www.smzdm.com/fenlei/saomiaoyi/
18小时前					     																,"
                                                    ",https://www.smzdm.com/p/13974193/,"
                                                                                京东                                    ","
                            1599元                        ",0,海尔（Haier） 100升-40℃细胞级冷冻 气悬浮减霜80% 电脑温控冷柜 冰蓝系列冰柜 BC/BD-100HEF,https://www.smzdm.com/fenlei/lenggui/
6小时前					     																,"
                                                    11相供电，自带ac无线网卡。ASRock 华擎 X299Killer SLI/ac主板采用了11相供电技术和60A高效电感，8×DDR4内存插槽支持双通道DD...                            ",https://www.smzdm.com/p/13983629/,"
                                                                                京东                                    ","
                            1499元包邮                        ",2,ASRock 华擎 X299 Killer SLI/ac主板（ Intel X299/LGA 2066 ）,https://www.smzdm.com/fenlei/zhuban/
05-21 10:42					     																,"
                                                    采用MTK7601芯片设计，无线上网稳定，适用于200平方以下使用采用迷你型外观设计，值友手指般大小，方便携带插入电脑如蓝牙发射器般隐形与USB接口，轻松发射W...                            ",https://www.smzdm.com/p/13929753/,"
                                                                                京东                                    ","
                            15.5元                        ",2,B-LINK 必联 BL-LW05-5R2 迷你USB无线网卡,https://www.smzdm.com/fenlei/wangka/
3小时前					     																,"
                        聚划算优惠后单价169，有需要的朋友可以考虑入手~                    ",https://www.smzdm.com/p/13987487/,"
                                                                                聚划算                                    ","
                            169元                        ",0,kingston 金士顿 DDR3L 1600 4GB 笔记本电脑内存,https://www.smzdm.com/fenlei/neicun/
,"
                    ",https://www.smzdm.com/p/13970401/,,"
                                                                                                ",,SYMA司马无人机航拍飞行器X8HG大型四轴定高遥控飞机专业高清800万摄像头,https://www.smzdm.com/fenlei/wurenji/
,"
                    ",https://www.smzdm.com/p/11281316/,,"
                            769元包邮（需用券，有赠品）                        ",,Lenovo 联想 Mirage AR 智能头盔 星球大战:绝地挑战 套装,https://www.smzdm.com/fenlei/ARshebei/
05-16 00:12					     																,"
                        京东商城到手价1999元，历史好价，喜欢的可关注。                    ",https://www.smzdm.com/p/13853560/,"
                                                                                京东                                    ","
                            1999元包邮                        ",0,大朋 DPVR E3C燃脂有氧套装,https://www.smzdm.com/fenlei/vrshebei/
11小时前					     																,"
                                                    支持230W以内的处理器，双滚珠风扇。在散热器市场，Prolimatech（采融）几乎无人不晓，风冷散热器最优秀散热效能最好的品牌之一。采融在2018年底发布了...                            ",https://www.smzdm.com/p/13977962/,"
                                                                                京东                                    ","
                            288元包邮（需10元定金）                        ",12,预售 : Prolimatech 采融 Artists 3i CPU散热器（LGA 115x、2066） ,https://www.smzdm.com/fenlei/sanreqi/
4小时前					     																,"
                                                    该商品目前京东售价519元，PLUS会员专享价499元，满399元减100元，下单实付399元，有需要的朋友可以考虑入手~                            ",https://www.smzdm.com/p/13986363/,"
                                                                                京东                                    ","
                            399元                        ",0,雷神白幽灵K7-PRO Cherry全铝合金键身LED背光 电镀键帽吃鸡机械键盘 红轴  防尘防水,https://www.smzdm.com/fenlei/jianpan/
5小时前					     																,"
                        下单到手价259元，感兴趣的值友可关注。                    ",https://www.smzdm.com/p/13985296/,"
                                                                                京东                                    ","
                            259元                        ",0,MAXSUN 铭瑄 复仇者 NM6C 固态硬盘 240GB,https://www.smzdm.com/fenlei/yingpan/
,"
                    ",https://www.smzdm.com/p/13948027/,,"
                            999元                        ",,THRUSTMASTER 图马思 T16000M FCS HOTAS 双手飞行操纵杆,https://www.smzdm.com/fenlei/shoubing/
3小时前					     																,"
                        折合下单实付6.9元，感兴趣的值友可关注。                    ",https://www.smzdm.com/p/13987092/,"
                                                                                天猫精选                                    ","
                            6.9元                        ",0,deli 得力 9060 荧光膜标签贴 5色 200张,https://www.smzdm.com/fenlei/zhipin/
,"
                    ",https://www.smzdm.com/p/13981406/,,"
                            9元包邮                        ",,saikang hdmi线2.0高清线4k 60Hz,https://www.smzdm.com/fenlei/xianlan/
,"
                    ",https://www.smzdm.com/p/13977254/,,"
                            8.8元包邮（需用券）                        ",,墨点 初学者书法套装 6件套（字帖+宣纸+水写布+毛笔+墨汁+墨碟）,https://www.smzdm.com/fenlei/zitie/
1小时前					     																,"
                                                    Mate10采用5.9英寸、16:9的2K屏幕，后置摄像头树立放置正中，背部采用最近流行的4曲面玻璃，并且配有多层镀膜加持。这款手机最受关注的一点是那颗搭载了来...                            ",https://www.smzdm.com/p/13988055/,"
                                                                                天猫精选                                    ","
                            2188元                        ",12,咨询减20元/3期免息Huawei/华为 Mate 10 手机官方旗舰店正品 华为mate10pro荣耀p20降价pro p10,https://www.smzdm.com/fenlei/shouji/
,"
                    ",https://www.smzdm.com/p/13912554/,,"
                            3.5元包邮                        ",,saikang 赛康 超六类 千兆网线 扁线 1.5米,https://www.smzdm.com/fenlei/wangxian/
04-02 08:26					     																,"
                                                    ",https://www.smzdm.com/p/13271102/,"
                                                                                京东                                    ","
                                                                                                ",1,Pioneer 6X蓝光刻录机USB3.0接口 吸入式设计 支持BD/DVD/CD读写/兼容Windows/MAC双系统/BDR-XS06C,https://www.smzdm.com/fenlei/keluji/
